通用,剪切,Ctrl,,,,x,,
通用,复制,Ctrl,,,,c,,
通用,粘贴,Ctrl,,,,V,,
通用,撤消,Ctrl,,,,z,,
通用,切换打开的应用,,Alt,,,,Tab,
通用,关闭或退出,,Alt,,,,f4,
通用,锁定电脑,,,,win,l,,
通用,显示、隐藏桌面,,,,win,d,,
通用,重命名,,,,,,f2,
通用,搜索,,,,,,f3,
通用,地址栏,,,,,,f4,
通用,刷新,,,,,,f5,
通用,循环窗口元素,,,,,,f6,
通用,激活菜单栏,,,,,,f10,
通用,登录屏幕显示密码,,alt,,,,f8,
通用,循环浏览项目,,alt,,,,esc,
通用,属性,,alt,,,,enter,
通用,窗口快捷菜单,,alt,,,,space,
通用,返回,,alt,,,,left,
通用,前进,,alt,,,,right,
通用,上一个屏幕,,alt,,,,page up,
通用,下一个屏幕,,alt,,,,page down,
通用,关闭活动文档,ctrl,,,,,f4,
通用,全选,ctrl,,,,a,,
通用,删除,ctrl,,,,d,,
通用,刷新,ctrl,,,,r,,
通用,恢复,ctrl,,,,y,,
通用,光标移到下个字词,ctrl,,,,,right,
通用,光标移到上个字词,ctrl,,,,,left,
通用,光标移到下个段落,ctrl,,,,,down,
通用,光标移到上个段落,ctrl,,,,,up,
通用,用方向键切换应用,ctrl,alt,,,,tab,
通用,移动焦点上的磁贴,,alt,shift,,,left,
通用,移动焦点上的磁贴,,alt,shift,,,down,
通用,移动焦点上的磁贴,,alt,shift,,,up,
通用,移动焦点上的磁贴,,alt,shift,,,right,
通用,创建磁贴文件夹,ctrl,,shift,,,left,
通用,创建磁贴文件夹,ctrl,,shift,,,down,
通用,创建磁贴文件夹,ctrl,,shift,,,up,
通用,创建磁贴文件夹,ctrl,,shift,,,right,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
通用,选择文本块,ctrl,,shift,,,left,
通用,选择文本块,ctrl,,shift,,,down,
通用,选择文本块,ctrl,,shift,,,up,
通用,选择文本块,ctrl,,shift,,,right,
通用,开始菜单,ctrl,,,,,esc,
通用,任务管理器,ctrl,,shift,,,esc,
通用,切换键盘布局,ctrl,,shift,,,,
通用,开关中文输入法,ctrl,,,,,space,
通用,选中项的菜单,,,shift,,,f10,
通用,多选,,,shift,,,left,
通用,多选,,,shift,,,down,
通用,多选,,,shift,,,up,
通用,多选,,,shift,,,right,
通用,不经回收直接删除,,,shift,,,del,
通用,截图,,,,,,,prtscr
,,,,,,,,
通用,操作中心,,,,win,a,,
通用,焦点移到托盘栏,,,,win,b,,
通用,Cortana,,,,win,c,,
通用,超级按钮菜单,,,shift,win,c,,
通用,显示隐藏桌面,,,,win,d,,
通用,显示隐藏日期时间,,alt,,win,d,,
通用,文件资源管理器,,,,win,e,,
通用,反馈中心,,,,win,f,,
通用,游戏栏,,,,win,g,,
通用,开始听写,,,,win,h,,
通用,打开设置,,,,win,i,,
通用,焦点移到提示,,,,win,j,,
通用,快速操作 连接,,,,win,k,,
通用,最小化所有窗口,,,,win,m,,
通用,锁定设备方向,,,,win,o,,
通用,选择演示显示模式,,,,win,p,,
通用,快速助手,ctrl,,,win,q,,
通用,运行,,,,win,r,,
通用,打开搜索,,,,win,s,,
通用,截屏,,,shift,win,s,,
通用,循环任务栏应用,,,,win,t,,
通用,轻松使用设置中心,,,,win,u,,
通用,剪切板,,,,win,v,,
通用,循环浏览通知,,,shift,win,v,,
通用,快速链接菜单,,,,win,x,,
通用,Win Mixed Reality,,,,win,y,,
通用,显示应用可用命令,,,,win,z,,
通用,表情符号面板,,,,win,.,,
通用,表情符号面板,,,,win,;,,
通用,临时速览桌面,,,,win,",",,
通用,系统属性,,,,win,,pause,
通用,搜索电脑,ctrl,,,win,f,,
通用,还原最小化窗口,,,shift,win,m,,
通用,任务栏应用,,,,win,0-9,,
通用,跳转列表,,alt,,win,0-9,,
通用,新实例,,,shift,win,0-9,,
通用,管理员新实例,ctrl,,shift,win,0-9,,
通用,任务视图,,,,win,,tab,
通用,最大化,,,,win,,up,
通用,最小化,,,,win,,down,
通用,右侧最大化,,,,win,,right,
通用,左侧最大化,,,,win,,left,
通用,最小化其他窗口,,,,win,,home,
通用,窗口垂直拉伸,,,shift,win,,up,
通用,窗口垂直还原,,,shift,win,,down,
通用,应用切换显示器,,,shift,win,,left,
通用,应用切换显示器,,,shift,win,,right,
通用,切换语言键盘布局,,,,win,,space,
通用,切换回输入法,ctrl,,,win,,space,
通用,讲述人,ctrl,,,win,,enter,
通用,放大镜,,,,win,,NUMPAD_PLUS,
通用,输入法复原流程,,,,win,,/,
通用,肩式分接设备,ctrl,,,win,v,,
通用,唤醒,ctrl,,shift,win,b,,
通用,添加虚拟桌面,ctrl,,,win,d,,
通用,右侧虚拟桌面,ctrl,,,win,,right,
通用,左侧虚拟桌面,ctrl,,,win,,left,
通用,关闭虚拟桌面,ctrl,,,win,,f4,
通用,地址栏,,alt,,,d,,
通用,搜索框,ctrl,,,,e,,
通用,搜索框,ctrl,,,,f,,
通用,新窗口,ctrl,,,,n,,
通用,关闭窗口,ctrl,,,,w,,
通用,新建文件夹,ctrl,,shift,,n,,
通用,显示子文件夹,,,,,,numlock,NUMPAD_ASTERISK
通用,显示文件夹内容,,,,,,numlock,NUMPAD_PLUS
通用,折叠文件夹,,,,,,numlock,NUMPAD_minus
通用,显示预览面板,,alt,,,p,,
通用,属性,,alt,,,,enter,
通用,上一级文件夹,,alt,,,,up,
通用,最大化,,,,,,F11,
通用,切换勾选,,,,,,space,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
命令提示符,复制,ctrl,,,,c,,
命令提示符,复制,ctrl,,,,,insert,
命令提示符,粘贴,,,shift,,v,,
命令提示符,粘贴,,,shift,,,insert,
命令提示符,标记模式,ctrl,,,,m,,
命令提示符,块模式选择,,alt,,,,up,
命令提示符,块模式选择,,alt,,,,down,
命令提示符,块模式选择,,alt,,,,left,
命令提示符,块模式选择,,alt,,,,right,
命令提示符,光标移到起始处,ctrl,,,,,home,
命令提示符,光标移到末尾,ctrl,,,,,end,
命令提示符,向上滚动,ctrl,,,,,up,
命令提示符,向下滚动,ctrl,,,,,down,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
通用,,,,,,,,
